Haltestelle,E85454,S85318,E85320,S85458,"S85322
","S85324
","S85326
","E85328
",S85330,E85300,"E85488
","S85342
","E85490
","S85346
","S85468
","S85348
","E85492
","S85350
","S85352
","S85354
","E85494
","S85356
","S85470
","S85358
","E85496
","S85360
","S85472
","S85362
","E85498
",S85364,E85302,"S85366
","E85368
","S85370
","S85372
","S85374
"
Waldenburg (Württ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Öhringen Cappel,,5.51,6.20,,6.34,6.52,7.04,,7.34 ,7.50,,10.30,,11.34,,12.04,,12.30,12.45,13.04,,13.34,,14.04,,14.30,,15.04,,15.34,15.52,16.04,16.20,16.30,16.45,17.04
Öhringen Hbf,,5.53,6.21,,6.36,6.54,7.06,,7.36,7.51,,10.32,,11.36,,12.06,,12.32,12.46,13.06,,13.36,,14.06,,14.32,,15.06,,15.36,15.53,16.06,16.21,16.32,16.46,17.06
Öhringen Hbf (ab),,5.55,6.23,,6.38,6.56,7.07,,7.38,7.53,,10.38,,11.38,,12.08,,12.38,12.48,13.08,,13.38,,14.08,,14.38,,15.08,,15.38,15.55,16.08,16.23,16.38,16.48,17.08
Öhringen West,,5.57,6.25,,6.40,6.58,7.10,,7.40,7.55,,10.40,,11.40,,12.10,,12.40,12.50,13.10,,13.40,,14.10,,14.40,,15.10,,15.40,15.57,16.10,16.25,16.40,16.50,17.10
Bitzfeld,,6.00,6.28,,6.43,7.01,7.13,,7.43,7.58,,10.43,,11.43,,12.13,,12.43,12.53,13.13,,13.43,,14.13,,14.43,,15.13,,15.43,15.59,16.13,16.27,16.43,16.52,17.13
Bretzfeld,,6.02,6.30,,6.45,7.03,7.15,,7.45,8.00,,10.45,,11.45,,12.15,,12.45,12.55,13.15,,13.45,,14.15,,14.45,,15.15,,15.45,16.01,16.15,16.30,16.45,16.55,17.15
Scheppach,,6.04,6.32,,6.47,7.05,7.17,,7.47,8.02,,10.47,,11.47,,12.17,,12.47,12.57,13.17,,13.47,,14.17,,14.47,,15.17,,15.47,16.03,16.17,16.31,16.47,16.56,17.17
Wieslensdorf,,6.06,6.34,,6.49,7.07,7.19,,7.49,8.04,,10.49,,11.49,,12.19,,12.49,12.59,13.19,,13.49,,14.19,,14.49,,15.19,,15.49,16.05,16.19,16.34,16.49,16.59,17.19
Eschenau (b. Heilbronn),,6.08,6.36,,6.51,7.09,7.21,,7.51,8.06,,10.51,,11.51,,12.21,,12.51,13.01,13.21,,13.51,,14.21,,14.51,,15.21,,15.51,16.07,16.21,16.36,16.51,17.01,17.21
Affaltrach,,6.10,6.38,,6.53,7.11,7.23,,7.53,8.08,,10.53,,11.53,,12.23,,12.53,13.03,13.23,,13.53,,14.23,,14.53,,15.23,,15.53,16.10,16.23,16.38,16.53,17.03,17.23
Willsbach,,6.12,6.40,,6.55,7.13,7.25,,7.55,8.10,,10.55,,11.55,,12.25,,12.55,13.05,13.25,,13.55,,14.25,,14.55,,15.25,,15.55,16.12,16.25,16.40,16.55,17.05,17.25
Sülzbach Schule,,6.13,6.41,,6.56,7.14,7.26,,7.56,8.11,,10.56,,11.56,,12.26,,12.56,13.06,13.26,,13.56,,14.26,,14.56,,15.26,,15.56,16.13,16.26,16.41,16.56,17.06,17.26
Sülzbach,,6.15,6.43,,6.58,7.16,7.28,,7.58,8.13,,10.58,,11.58,,12.28,,12.58,13.08,13.28,,13.58,,14.28,,14.58,,15.28,,15.58,16.14,16.28,16.42,16.58,17.08,17.28
Ellhofen,,6.17,6.45,,7.00,7.18,7.30,,8.00,8.15,,11.00,,12.00,,12.30,,13.00,13.10,13.30,,14.00,,14.30,,15.00,,15.30,,16.00,16.16,16.30,16.45,17.00,17.10,17.30
Weinsberg/Ellhofen Gewerbeg.,,6.18,6.46,,7.01,7.19,7.31,,8.01,8.16,,11.01,,12.01,,12.31,,13.01,13.11,13.31,,14.01,,14.31,,15.01,,15.31,,16.01,16.18,16.31,16.46,17.01,17.11,17.31
Weinsberg,,6.20,6.48,,7.03,7.21,7.33,,8.03,8.18,,11.03,,12.03,,12.33,,13.03,13.13,13.33,,14.03,,14.33,,15.03,,15.33,,16.03,16.20,16.33,16.48,17.03,17.13,17.33
Weinsberg (ab),,6.21,6.49,,7.04,7.22,7.34,7.49,8.04,8.19,10.49,11.04,11.49,12.04,,12.34,12.49,13.04,13.14,13.34,13.49,14.04,,14.34,14.49,15.04,,15.34,15.49,16.04,16.21,16.34,16.49,17.04,17.14,17.34
Weinsberg West,,6.22,6.50,,7.05,7.23,,7.50,8.05,8.20,10.50,11.05,11.50,12.05,,12.35,12.50,13.05,13.15,13.35,13.50,14.05,,14.35,14.50,15.05,,15.35,15.50,16.05,16.22,16.35,16.50,17.05,17.15,17.35
Heilbronn Trappensee,,6.25,6.53,,7.08,7.26,,7.53,8.08,8.23,10.53,11.08,11.53,12.08,,12.38,12.53,13.08,13.18,13.38,13.53,14.08,,14.38,14.53,15.08,,15.38,15.53,16.08,16.25,16.38,16.53,17.08,17.18,17.38
Pfühlpark,6.20,6.27,6.55,7.03,7.10,7.28,7.37,7.55,8.10,8.26,10.55,11.10,11.55,12.10,12.20,12.40,12.55,13.10,13.19,13.40,13.55,14.10,14.20,14.40,14.55,15.10,15.20,15.40,15.55,16.10,16.26,16.39,16.55,17.10,17.19,17.40
