Haltestelle,S-Bahn,Express,S-Bahn,S-Bahn,S-Bahn,S-Bahn,S-Bahn,S-Bahn,Express,S-Bahn,S-Bahn,Express,Express,S-Bahn,S-Bahn,S-Bahn,Express,S-Bahn,S-Bahn,S-Bahn,Express,S-Bahn,S-Bahn,S-Bahn,Express,S-Bahn,S-Bahn,S-Bahn,Express,S-Bahn,S-Bahn,S-Bahn,S-Bahn,Express,S-Bahn,S-Bahn,S-Bahn,Express,S-Bahn,S-Bahn,S-Bahn,Express,S-Bahn,S-Bahn,S-Bahn,Express,S-Bahn,S-Bahn,S-Bahn,Express,S-Bahn,S-Bahn,S-Bahn,Express,S-Bahn,Express,S-Bahn,S-Bahn,Express,S-Bahn,S-Bahn,S-Bahn,S-Bahn,Express,S-Bahn,Express,S-Bahn,Express,S-Bahn,Express,Express,S-Bahn
Sulzfeld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eppingen West,6.01,,,6.27,,6.49,,7.10,7.26,,7.48,8.10,,,8.52,,,,9.47,,,,10.47,,,,11.47,,,,,12.47,13.07,,,13.47,,,,14.47,,,,15.47,,,,16.47,,,,17.47,,,,,,18.47,,,19.47,,,20.29,,21.29,,22.29,,23.29,0.42,1.11
Eppingen,6.03,6.12,6.22,6.33,,6.54,,7.13,7.29,,7.50,8.12,8.29,,8.55,,9.29,,9.49,,10.29,,10.49,,11.29,,11.49,,12.29,,,12.49,13.09,13.29,,13.49,,14.29,,14.49,,15.29,,15.49,,16.29,,16.49,,17.29,,17.49,,18.29,,18.58,,19.09,19.29,,19.49,,,20.33,,21.22,,22.33,,23.33,0.44,1.13
Gemmingen West,6.08,,6.27,6.38,,6.59,,7.18,,,7.55,8.17,,,9.00,,,,9.54,,,,10.54,,,,11.54,,,,,12.54,13.14,,,13.54,,,,14.54,,,,15.54,,,,16.54,,,,17.54,,,,,,19.14,,,19.54,,,20.38,,21.38,,22.38,,23.40,0.49,1.18
Gemmingen,6.09,,6.28,6.39,,7.01,,7.19,7.34,,7.57,8.18,8.35,,9.01,,9.35,,9.55,,10.35,,10.55,,11.35,,11.55,,12.35,,,12.55,13.15,13.35,,13.55,,14.35,,14.55,,15.35,,15.55,,16.35,,16.55,,17.35,,17.55,,18.35,,,,19.15,19.35,,19.55,,,20.39,,21.39,,22.39,,23.41,0.51,1.20
Stetten am Heuchelberg,6.13,,"6,31",6.42,,7.04,,7.22,7.38,,8.00,8.21,8.38,,9.04,,9.38,,9.58,,10.38,,10.58,,11.38,,11.58,,12.38,,,12.58,13.19,13.38,,13.58,,14.38,,14.58,,15.38,,15.58,,16.38,,16.58,,17.38,,17.58,,18.38,,,,19.20,19.38,,19.58,,,20.42,,21.42,,22.42,,23.44,0.54,1.23
Schwaigern West,6.15,,6.34,6.45,6.52,7.06,,7.25,,,8.03,8.23,,8.41,9.07,9.20,,9.41,10.00,10.20,,10.41,11.00,11.20,,11.41,12.00,12.20,,12.41,12.51,13.00,13.22,,13.41,14.00,14.20,,14.41,15.00,15.20,,15.41,16.00,16.20,,16.41,17.00,17.20,,17.41,18.00,18.20,,18.41,,,19.22,,19.41,20.00,20.20,,20.45,,21.45,,22.45,,23.47,0.56,1.25
Schwaigern (Württ.),6.17,,6.35,6.46,6.54,7.10,7.22,7.26,7.41,,8.04,8.25,8.41,8.44,9.08,9.22,9.41,9.44,10.02,10.22,10.41,10.44,11.02,11.22,11.41,11.44,12.02,12.22,12.41,12.44,12.54,13.02,13.24,13.41,13.44,14.02,14.22,14.41,14.44,15.02,15.22,15.41,15.44,16.02,16.22,16.41,16.44,17.02,17.22,17.41,17.44,18.02,18.22,18.41,18.44,,,19.24,19.41,19.44,20.02,20.22,,20.47,,21.47,,22.47,,23.48,0.58,1.27
Schwaigern Ost,6.18,,6.36,6.48,6.55,7.11,7.23,7.27,,,8.05,8.26,,8.45,9.10,9.23,,9.45,10.03,10.23,,10.45,11.03,11.23,,11.45,12.03,12.23,,12.45,12.55,13.03,13.25,,13.45,14.03,14.23,,14.45,15.03,15.23,,15.45,16.03,16.23,,16.45,17.03,17.23,,17.45,18.03,18.23,,"18,45",,,19.25,,19.45,20.03,20.23,,20.48,,21.48,,22.48,,23.50,0.59,1.28
Mitte West,6.20,,6.39,6.50,6.57,7.13,7.25,7.30,,,8.08,8.28,,8.48,9.12,9.25,,9.48,10.05,10.25,,10.48,11.05,11.25,,11.48,12.05,12.25,,12.48,12.58,13.05,13.27,,13.48,14.05,14.25,,14.48,15.05,15.25,,15.48,16.05,16.25,,16.48,17.05,17.25,,17.48,18.05,18.25,,18.48,,,19.28,,19.48,20.05,20.25,,20.50,,21.50,,22.50,,23.52,1.02,1.30
